,Hex,Opcode,Fetches,Operands,Op1,Op2,Op3
194,C2,ldc,2,2,rx,Irry,-
195,C3,ldci,2,2,Irx,Irry,-
196,C4,jp,2,1,IRRx,-,-
197,C5,ldc,2,2,Irx,Irry,-
198,C6,foo,1,0,-,-,-
199,C7,ld,3,3,rx,ry,RA
200,C8,pushx,3,1,ERx,-,-
201,C9,foo,1,0,-,-,-
202,CA,djnz,2,2,r12,X,-
203,CB,jr,2,2,cc,X,-
204,CC,ld,2,2,r12,IM,-
205,CD,jp,3,2,cc,DA,-
206,CE,inc,1,1,r12,-,-
207,CF,rcf,1,0,-,-,-
208,D0,sra,2,1,Rx,-,-
209,D1,sra,2,1,IRx,-,-
210,D2,ldc,2,2,ry,Irrx,-
211,D3,ldci,2,2,Iry,Irrx,-
212,D4,call,2,1,IRRx,-,-
213,D5,bswap,2,1,Rx,-,-
214,D6,call,3,1,DA,-,-
215,D7,ld,3,3,ry,rx,RA
216,D8,popx,3,1,ERx,-,-
217,D9,foo,1,0,-,-,-
218,DA,djnz,2,2,r13,X,-
219,DB,jr,2,2,cc,X,-
220,DC,ld,2,2,r13,IM,-
221,DD,jp,3,2,cc,DA,-
222,DE,inc,1,1,r13,-,-
223,DF,scf,1,0,-,-,-
224,E0,rrc,2,1,Rx,-,-
225,E1,rrc,2,1,IRx,-,-
226,E2,bit,2,2,p_b,ry,-
227,E3,ld,2,2,rx,Iry,-
228,E4,ld,3,2,Ry,Rx,-
229,E5,ld,3,2,IRy,Rx,-
230,E6,ld,3,2,Rx,IM,-
231,E7,ld,3,2,IRx,IM,-
232,E8,ldx,4,2,ERy,ERx,-
233,E9,ldx,4,2,IM,ERx,-
234,EA,djnz,2,2,r14,X,-
235,EB,jr,2,2,cc,X,-
236,EC,ld,2,2,r14,IM,-
237,ED,jp,3,2,cc,DA,-
238,EE,inc,1,1,r14,-,-
239,EF,ccf,1,0,-,-,-
240,F0,swap,2,1,Rx,-,-
241,F1,swap,2,1,IRx,-,-
242,F2,trap,2,1,V,-,-
243,F3,ld,2,2,Irx,ry,-
244,F4,mult,2,1,RRx,-,-
245,F5,ld,3,2,Ry,Rx,-
246,F6,btj,3,3,p_b,ry,X
247,F7,btj,3,3,p_b,ry,X
248,F8,foo,1,0,-,-,-
249,F9,foo,1,0,-,-,-
250,FA,djnz,2,2,r15,X,-
251,FB,jr,2,2,cc,X,-
252,FC,ld,2,2,r15,IM,-
253,FD,jp,3,2,cc,DA,-
254,FE,inc,1,1,r15,-,-
255,FF,foo,1,0,-,-,-
256,1F70,push,3,1,IM,-,-
257,1FA2,cpc,3,2,rx,ry,-
258,1FA3,cpc,3,2,rx,Iry,-
259,1FA4,cpc,4,2,Ry,Rx,-
260,1FA5,cpc,4,2,IRy,Rx,-
261,1FA6,cpc,4,2,Rx,IM,-
262,1FA7,cpc,4,2,IRx,IM,-
263,1FA8,cpcx,5,2,ERy,ERx,-
264,1FA9,cpcx,5,2,IM,ERx,-
265,1FC0,srl,3,1,Rx,-,-
266,1FC1,srl,3,1,IRx,-,-
267,1FE8,ldwx,5,2,ERy,ERx,-
